brgy,land_area,floor_area,classification,storey,roof_framing,roofing,ext_walls,flooring,doors,ceiling,windows,wall_finish,elect_conduit,toilet,plumbing,target_value
3,200.0,264.0,1,2,3.0,4,2.0,1.0,0.0,0.0,3.0,3.0,7.0,1.0,2.0,1000000.0
3,706.0,96.0,1,1,6.0,2,4.0,2.0,6.0,3.0,7.0,5.0,8.0,2.0,2.0,297600.0
3,101.0,180.0,1,3,0.0,2,2.0,1.0,0.0,0.0,5.0,3.0,7.0,1.0,2.0,750000.0
3,194.5,123.51,1,2,6.0,2,4.0,0.0,3.0,0.0,3.0,1.0,3.0,1.0,0.0,549600.0
3,588.0,160.0,1,1,6.0,2,2.0,1.0,6.0,0.0,3.0,1.0,8.0,1.0,2.0,176000.0
3,255.0,160.0,1,2,6.0,2,2.0,0.0,2.0,0.0,2.0,1.0,7.0,1.0,0.0,225000.0
3,194.0,192.0,1,2,6.0,2,0.0,1.0,6.0,3.0,2.0,0.0,8.0,1.0,0.0,629472.0
3,588.0,160.0,1,1,6.0,2,2.0,1.0,6.0,0.0,2.0,1.0,8.0,1.0,2.0,176000.0
3,76.0,150.0,1,1,6.0,2,4.0,0.0,6.0,0.0,7.0,1.0,4.0,0.0,2.0,20000.0
3,65.0,66.0,1,1,6.0,0,4.0,0.0,6.0,0.0,3.0,5.0,4.0,0.0,2.0,285120.0
3,103.0,108.0,1,1,5.0,2,2.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,4350.0
2,120.0,56.0,1,1,6.0,2,2.0,0.0,3.0,0.0,7.0,1.0,9.0,0.0,2.0,200000.0
2,442.0,266.7,1,2,5.0,3,2.0,0.0,3.0,0.0,0.0,1.0,7.0,1.0,0.0,1430000.0
2,200.0,90.0,1,2,2.0,2,4.0,2.0,0.0,0.0,3.0,5.0,7.0,0.0,0.0,279000.0
2,120.0,39.6,1,1,5.0,2,2.0,0.0,6.0,0.0,3.0,1.0,7.0,1.0,0.0,200000.0
2,120.0,144.0,1,2,4.0,2,2.0,0.0,6.0,1.0,5.0,1.0,8.0,1.0,2.0,662400.0
2,180.0,74.2,1,1,1.0,5,1.0,2.0,6.0,0.0,7.0,1.0,4.0,1.0,2.0,76000.0
2,300.0,156.0,1,2,5.0,3,2.0,0.0,3.0,0.0,5.0,1.0,7.0,1.0,0.0,800000.0
2,340.0,90.0,1,2,5.0,3,2.0,0.0,3.0,0.0,5.0,1.0,7.0,1.0,0.0,400000.0
2,297.0,150.8,1,2,5.0,3,2.0,0.0,3.0,0.0,2.0,1.0,7.0,1.0,0.0,710000.0
2,263.0,172.0,1,2,6.0,2,2.0,0.0,6.0,0.0,2.0,1.0,7.0,1.0,2.0,500000.0
2,263.0,39.0,1,1,5.0,2,2.0,0.0,3.0,0.0,3.0,1.0,7.0,1.0,0.0,200000.0
1,350.0,88.0,1,2,6.0,2,2.0,0.0,3.0,0.0,3.0,1.0,9.0,1.0,0.0,400000.0
3,176.0,55.2,1,2,2.0,2,2.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,230000.0
3,176.0,112.8,1,2,2.0,2,2.0,0.0,0.0,0.0,3.0,3.0,7.0,1.0,0.0,485040.0
0,436.0,340.0,1,2,5.0,0,2.0,0.0,5.0,0.0,5.0,1.0,7.0,1.0,2.0,1760000.0
0,250.0,109.0,1,1,5.0,0,2.0,1.0,2.0,0.0,4.0,3.0,7.0,1.0,0.0,600000.0
0,300.0,72.0,1,1,6.0,0,2.0,1.0,6.0,0.0,0.0,1.0,7.0,1.0,2.0,415000.0
0,787.0,79.8,1,2,0.0,2,2.0,1.0,0.0,0.0,2.0,3.0,7.0,1.0,0.0,500000.0
0,428.0,232.86,1,2,5.0,2,2.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,988230.0
0,138.0,94.49,1,2,5.0,2,2.0,1.0,0.0,0.0,2.0,3.0,10.0,1.0,2.0,542372.0
3,500.0,68.81,1,1,5.0,3,2.0,1.0,6.0,0.0,2.0,2.0,8.0,1.0,2.0,452080.0
0,250.0,109.0,1,1,5.0,0,2.0,1.0,2.0,0.0,4.0,3.0,7.0,1.0,0.0,600000.0
0,450.0,140.0,1,1,5.0,2,2.0,1.0,3.0,0.0,2.0,1.0,8.0,1.0,2.0,585000.0
0,794.0,95.05,1,1,5.0,0,2.0,0.0,6.0,0.0,3.0,1.0,7.0,0.0,0.0,395000.0
0,191.0,102.0,1,2,2.0,2,2.0,2.0,4.0,0.0,3.0,4.0,8.0,1.0,2.0,250000.0
1,307.0,54.0,1,1,6.0,2,2.0,0.0,3.0,0.0,3.0,1.0,9.0,0.0,0.0,120000.0
1,351.0,45.0,1,1,6.0,2,2.0,2.0,6.0,0.0,7.0,1.0,10.0,1.0,2.0,110700.0
1,180.0,98.5,1,1,6.0,2,2.0,0.0,3.0,0.0,7.0,1.0,7.0,1.0,0.0,310000.0
1,200.0,58.35,1,1,5.0,0,2.0,0.0,2.0,0.0,4.0,1.0,7.0,1.0,0.0,230000.0
1,242.0,46.22,1,1,5.0,2,3.0,1.0,6.0,0.0,7.0,3.0,8.0,1.0,2.0,305830.0
1,242.0,60.62,1,1,6.0,2,3.0,0.0,6.0,0.0,2.0,2.0,5.0,1.0,2.0,374960.0
1,325.0,144.0,1,1,5.0,2,2.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,100000.0
1,244.0,80.0,1,1,5.0,2,2.0,1.0,0.0,0.0,3.0,3.0,7.0,1.0,0.0,450000.0
1,500.0,71.06,1,2,5.0,2,2.0,1.0,3.0,0.0,2.0,3.0,8.0,1.0,2.0,359400.0
1,212.0,76.0,1,1,5.0,2,2.0,1.0,3.0,0.0,2.0,3.0,8.0,1.0,2.0,500000.0
3,425.0,73.7,1,2,5.0,3,2.0,1.0,3.0,0.0,2.0,2.0,8.0,1.0,2.0,462520.0
0,286.0,145.6,1,2,4.0,6,2.0,1.0,5.0,0.0,2.0,3.0,7.0,1.0,2.0,580000.0
3,412.0,265.78,1,2,4.0,6,2.0,1.0,6.0,0.0,2.0,1.0,8.0,1.0,2.0,1120920.0
3,270.0,111.54,1,2,0.0,2,2.0,0.0,5.0,0.0,3.0,3.0,7.0,0.0,0.0,255000.0
2,263.0,583.5,1,2,5.0,3,2.0,0.0,5.0,0.0,2.0,3.0,7.0,1.0,0.0,2600000.0
0,328.0,327.0,0,2,5.0,2,2.0,0.0,5.0,0.0,2.0,1.0,8.0,1.0,2.0,592790.0
0,263.0,180.0,0,1,2.0,2,2.0,2.0,6.0,0.0,2.0,1.0,8.0,1.0,2.0,91650.0
0,325.0,216.0,0,2,2.0,2,2.0,2.0,3.0,0.0,2.0,1.0,8.0,1.0,2.0,684000.0
